"T000366" "T000844" "T001390" "T001684" "T010422" "T010499" "T010511" "T010593" "T010903" "T010910" "T011021" "T011155" "T011600" "T020108" "T020198" "T020686" "T021027" "T021379" "T021921" "T022004" "T022426" "T030259" "T030482" "T030739" "T030792" "T031050" "T031081" "T031126" "T031173" "T031309" "T031415" "T040027" "T040092" "T040134" "T040227" "T040407" "T040848" "T040912" "T040932" "T041496" "T041551" "T050360" "T050525" "T051007" "T051030" "T051039" "T051261" "T060509" "T061108" "T061164" "T061273" "T061475" "T070662" "T070778" "T071001" "T071067" "T071257" "T071299" "T071355" "T071394" "T071459" "T071540" "T080185" "T080474" "T080496" "T080760" "T080881" "T080992" "T081802" "T081875" "T081952" "T090059" "T090547" "T092087" "T092089" "T092215" "T100243" "T100349" "T100533" "T100676" "T100992" "T110379" "T110492" "T110792" "T970146" "T970191" "T970243" "T970600" "T970855" "T980065" "T980106" "T980282" "T980430" "T980682" "T990288" "T990447" "T990483" "T990504" "T990809" "T990852"
"age" "45" "49" "57" "90" "63" "23" "43" "53" "57" "39" "40" "83" "74" "29" "49" "2" "48" "60" "3" "57" "65" "45" "42" "65" "3" "76" "22" "63" "43" "46" "61" "66" "32" "63" "18" "21" "23" "60" "56" "67" "58" "71" "74" "64" "46" "31" "46" "47" "84" "1" "56" "22" "44" "67" "63" "61" "53" "64" "72" "55" "61" "38" "77" "27" "2" "33" "74" "58" "71" "47" "39" "58" "62" "46" "55" "34" "60" "49" "57" "16" "30" "37" "65" "60" "77" "60" "58" "2" "50" "71" "39" "67" "35" "32" "54" "54" "59" "62" "71" "51"
"Batch" "1" "1" "1" "1" "1" "2" "1" "1" "1" "1" "1" "1" "1" "2" "1" "1" "2" "2" "1" "2" "2" "2" "1" "2" "2" "2" "2" "1" "2" "2" "2" "2" "1" "2" "1" "1" "1" "2" "2" "2" "2" "2" "1" "1" "2" "2" "1" "2" "2" "1" "1" "1" "1" "2" "1" "1" "1" "1" "1" "2" "2" "1" "1" "1" "1" "2" "2" "1" "2" "2" "1" "2" "1" "1" "2" "1" "1" "1" "1" "1" "1" "2" "1" "1" "2" "1" "1" "1" "2" "2" "2" "2" "1" "1" "2" "1" "1" "1" "2" "1"
"Gender" "F" "M" "M" "F" "M" "F" "F" "F" "M" "F" "F" "F" "M" "F" "F" "M" "M" "M" "M" "F" "F" "F" "F" "M" "M" "M" "F" "M" "F" "F" "F" "F" "F" "F" "M" "F" "F" "M" "M" "M" "F" "M" "F" "M" "M" "F" "F" "F" "M" "F" "F" "F" "F" "M" "M" "M" "M" "M" "M" "F" "F" "F" "M" "F" "M" "F" "M" "M" "F" "M" "M" "M" "M" "F" "F" "F" "F" "M" "F" "F" "F" "M" "M" "M" "F" "M" "M" "F" "F" "M" "F" "F" "F" "F" "F" "M" "F" "F" "F" "F"
"EHHADH" "4580" "4131" "2796" "3415" "2177" "3323" "5483" "3746" "4087" "7073" "4219" "4579" "4571" "3552" "3710" "1594" "4051" "2213" "6371" "5250" "3933" "2537" "2882" "1726" "1318" "3796" "3961" "3782" "3075" "2922" "2554" "2618" "5425" "2503" "4352" "3153" "3817" "1581" "2497" "1032" "2926" "2901" "7070" "3250" "4141" "4477" "4209" "4163" "2013" "8620" "3854" "5018" "6488" "2055" "4983" "4259" "1460" "2261" "6702" "3968" "2224" "7417" "2107" "5290" "4053" "3790" "1107" "6817" "2292" "1259" "6999" "3274" "5740" "6937" "3696" "4592" "5477" "8979" "2560" "3860" "4967" "2045" "6490" "5878" "2902" "5723" "4825" "4946" "3814" "2286" "2653" "2786" "4832" "4519" "2384" "3198" "4181" "4052" "1159" "6868"
"ACSM3" "925" "713" "546" "607" "368" "687" "933" "740" "237" "1449" "919" "658" "1034" "721" "609" "138" "817" "462" "415" "727" "828" "590" "566" "90" "187" "460" "500" "256" "678" "462" "144" "142" "921" "678" "919" "732" "514" "324" "436" "49" "504" "384" "949" "831" "627" "532" "591" "968" "188" "1188" "931" "886" "1216" "292" "624" "864" "233" "433" "986" "487" "384" "1369" "447" "1260" "784" "933" "113" "1150" "221" "216" "1624" "918" "539" "1576" "633" "685" "676" "1016" "435" "743" "1131" "438" "1430" "1170" "456" "769" "1301" "738" "209" "286" "402" "243" "675" "737" "270" "528" "785" "276" "156" "1520"
"CYP2C19" "2575" "1719" "158" "462" "799" "476" "668" "2096" "945" "1395" "873" "160" "167" "815" "51" "447" "398" "840" "336" "820" "359" "259" "1194" "220" "11" "73" "423" "56" "946" "281" "243" "294" "1898" "618" "1980" "404" "1187" "359" "73" "943" "824" "280" "573" "261" "436" "126" "190" "563" "54" "1792" "1026" "677" "1869" "199" "79" "1083" "188" "46" "381" "744" "112" "513" "51" "2680" "512" "946" "33" "333" "145" "466" "522" "475" "110" "678" "632" "1151" "174" "1589" "1004" "1023" "337" "684" "116" "204" "312" "975" "962" "1927" "290" "235" "2353" "571" "38" "1459" "160" "950" "50" "546" "14" "2745"
"CYP2C9" "10223" "8616" "7815" "9122" "6304" "8730" "9488" "11430" "10638" "14119" "10742" "8207" "13438" "8555" "10247" "10424" "9238" "8814" "9527" "7399" "11642" "6925" "6011" "2217" "176" "5784" "5999" "5835" "7642" "6391" "2764" "3194" "13784" "6239" "9844" "8945" "13344" "2365" "8595" "1761" "3253" "4487" "11023" "9822" "6673" "8578" "7303" "8818" "2444" "15756" "5685" "7250" "12726" "4112" "8888" "6948" "3654" "9068" "8758" "6991" "7205" "14233" "5249" "13966" "12304" "8741" "2307" "12815" "3428" "2745" "14319" "9742" "9869" "14076" "9652" "9034" "6642" "17468" "6041" "8423" "13936" "6038" "17126" "16394" "7687" "8790" "16951" "9250" "2759" "3528" "7567" "3834" "5314" "8894" "5711" "4130" "8022" "6445" "1069" "10522"
"CYP3A7" "516" "560" "286" "766" "1144" "444" "410" "383" "455" "572" "435" "299" "6290" "1149" "1417" "11486" "1912" "280" "5505" "395" "1247" "406" "442" "81" "6321" "1121" "1109" "594" "636" "480" "1145" "729" "1624" "664" "361" "2256" "676" "107" "263" "1932" "346" "551" "658" "1986" "203" "2358" "787" "506" "121" "11182" "1566" "1281" "581" "4299" "335" "783" "526" "917" "385" "874" "195" "574" "4033" "386" "12003" "312" "110" "821" "113" "1225" "528" "372" "4478" "2442" "2344" "775" "329" "1068" "397" "676" "543" "214" "952" "519" "246" "339" "530" "620" "183" "181" "4282" "163" "334" "416" "271" "269" "332" "1880" "32" "486"
"CYP3A4" "63097" "64375" "42640" "45732" "5720" "32690" "46301" "35178" "30305" "64724" "35917" "31109" "26248" "42537" "32751" "15545" "32990" "25303" "26453" "44146" "44826" "36622" "53704" "25478" "739" "15746" "39278" "18994" "43671" "23410" "14646" "11713" "51447" "22925" "36233" "12480" "119098" "9014" "16146" "31411" "20210" "18585" "12960" "45309" "29948" "15209" "21148" "50553" "6923" "61228" "46619" "40394" "38808" "20449" "16210" "36955" "41176" "32927" "27657" "35575" "19577" "39354" "16783" "81666" "56509" "63130" "12201" "28218" "3843" "20353" "51087" "42128" "6613" "100358" "23759" "38010" "40591" "22979" "36643" "48583" "37129" "32050" "47542" "41896" "12091" "57738" "43577" "65483" "38970" "20441" "73969" "48802" "8483" "62711" "21922" "40267" "20496" "26712" "2227" "92217"
"CYP3A43" "326" "106" "67" "98" "28" "236" "103" "71" "13" "430" "108" "69" "146" "216" "58" "389" "194" "1044" "90" "212" "173" "168" "105" "210" "11" "220" "297" "30" "171" "184" "191" "224" "738" "157" "68" "251" "252" "36" "66" "73" "44" "160" "104" "69" "121" "107" "76" "217" "152" "164" "102" "111" "105" "33" "86" "155" "77" "111" "48" "132" "105" "338" "35" "211" "148" "265" "86" "88" "33" "87" "298" "191" "63" "389" "84" "91" "173" "126" "102" "88" "134" "239" "122" "194" "67" "115" "118" "137" "165" "116" "252" "288" "27" "467" "79" "80" "55" "58" "6" "545"
